State,Year,Crop,Area,Production
Chhattisgarh,2002,Rice,92649,81628
Chhattisgarh,2002,Wheat,5336,4531
Chhattisgarh,2002,Onion,215,1221
Chhattisgarh,2002,Potato,85,505
Chhattisgarh,2003,Jowar,153,120
Chhattisgarh,2003,Rice,92807,101004
Chhattisgarh,2003,Wheat,5699,4726
Chhattisgarh,2003,Onion,205,1137
Chhattisgarh,2003,Potato,90,418
Chhattisgarh,2004,Jowar,155,95
Chhattisgarh,2004,Rice,93135,83543
Chhattisgarh,2004,Wheat,5626,3805
Chhattisgarh,2004,Onion,179,680
Chhattisgarh,2004,Potato,85,486
Chhattisgarh,2005,Jowar,154,111
Chhattisgarh,2005,Rice,93236,102670
Chhattisgarh,2005,Wheat,5377,3452
Chhattisgarh,2005,Onion,212,732
Chhattisgarh,2005,Potato,83,424
Chhattisgarh,2006,Bajra,3,3
Chhattisgarh,2006,Jowar,145,106
Chhattisgarh,2006,Potato,1,7
Chhattisgarh,2006,Rice,92837,129942
Chhattisgarh,2006,Potato,85,262
Chhattisgarh,2006,Wheat,5474,4355
Chhattisgarh,2006,Onion,158,635
Chhattisgarh,2007,Bajra,3,1
Chhattisgarh,2007,Jowar,142,119
Chhattisgarh,2007,Potato,7,44
Chhattisgarh,2007,Rice,93715,104967
Chhattisgarh,2007,Potato,80,298
Chhattisgarh,2007,Wheat,5467,4529
Chhattisgarh,2007,Onion,168,663
Chhattisgarh,2008,Bajra,3,1
Chhattisgarh,2008,Jowar,139,169
Chhattisgarh,2008,Rice,95047,100521
Chhattisgarh,2008,Potato,179,667
Chhattisgarh,2008,Wheat,5422,4275
Chhattisgarh,2008,Onion,172,586
Chhattisgarh,2009,Jowar,139,159
Chhattisgarh,2009,Rice,96516,78540
Chhattisgarh,2009,Wheat,5721,4911
Chhattisgarh,2009,Onion,185,503
Chhattisgarh,2009,Potato,76,264
Chhattisgarh,2010,Bajra,6,5
Chhattisgarh,2010,Jowar,225,364
Chhattisgarh,2010,Rice,95739,151006
Chhattisgarh,2010,Wheat,6259,6895
Chhattisgarh,2010,Onion,210,917
Chhattisgarh,2010,Potato,98,435
Chhattisgarh,2011,Jowar,208,165
Chhattisgarh,2011,Potato,1,9
Chhattisgarh,2011,Rice,95695,155004
Chhattisgarh,2011,Potato,107,716
Chhattisgarh,2011,Wheat,6822,8363
Chhattisgarh,2011,Onion,291,928
Chhattisgarh,2012,Bajra,2,2
Chhattisgarh,2012,Jowar,790,568
Chhattisgarh,2012,Potato,21,146
Chhattisgarh,2012,Rice,95853,142900
Chhattisgarh,2012,Potato,102,691
Chhattisgarh,2012,Wheat,6494,7902
Chhattisgarh,2012,Onion,281,727
Chhattisgarh,2013,Potato,18,113
Chhattisgarh,2013,Rice,96026,127776
Chhattisgarh,2013,Potato,83,410
Chhattisgarh,2013,Wheat,10265,10549
Chhattisgarh,2013,Bajra,107,98
Chhattisgarh,2013,Jowar,221,144
Chhattisgarh,2013,Onion,227,1380
Chhattisgarh,2014,Bajra,83,63
Chhattisgarh,2014,Potato,308,1822
Chhattisgarh,2014,Rice,102157,138630
Chhattisgarh,2014,Potato,104,581
Chhattisgarh,2014,Wheat,7233,10319
Chhattisgarh,2014,Jowar,146,118
Chhattisgarh,2014,Onion,308,2478
Chhattisgarh,2000,Jowar,448,37
Chhattisgarh,2000,Rice,162220,133229
Chhattisgarh,2000,Wheat,815,1050
Chhattisgarh,2000,Onion,83,650
Chhattisgarh,2000,Potato,7,53
Chhattisgarh,2001,Jowar,445,532
Chhattisgarh,2001,Rice,164934,262672
Chhattisgarh,2001,Wheat,1423,2722
Chhattisgarh,2001,Onion,81,819
Chhattisgarh,2001,Potato,5,36
Chhattisgarh,2002,Jowar,420,289
Chhattisgarh,2002,Rice,160452,88832
Chhattisgarh,2002,Wheat,948,1581
Chhattisgarh,2002,Onion,102,549
Chhattisgarh,2002,Potato,6,48
Chhattisgarh,2003,Jowar,428,544
Chhattisgarh,2003,Rice,164148,319835
Chhattisgarh,2003,Wheat,1238,2112
Chhattisgarh,2003,Onion,55,389
Chhattisgarh,2003,Potato,5,30
Chhattisgarh,2004,Jowar,384,329
Chhattisgarh,2004,Rice,165555,248783
Chhattisgarh,2004,Wheat,1056,1502
Chhattisgarh,2004,Onion,72,446
Chhattisgarh,2004,Potato,1,6
Chhattisgarh,2005,Jowar,391,390
Chhattisgarh,2005,Rice,167460,275545
Chhattisgarh,2005,Wheat,928,1555
Chhattisgarh,2005,Onion,80,444
Chhattisgarh,2005,Potato,6,36
Chhattisgarh,2006,Jowar,362,373
Chhattisgarh,2006,Rice,170620,302060
Chhattisgarh,2006,Potato,4,19
Chhattisgarh,2006,Wheat,825,1443
Chhattisgarh,2006,Onion,68,314
Chhattisgarh,2007,Jowar,354,447
Chhattisgarh,2007,Rice,171869,284312
Chhattisgarh,2007,Potato,1,5
Chhattisgarh,2007,Wheat,800,1461
Chhattisgarh,2007,Onion,41,186
Chhattisgarh,2008,Jowar,354,552
Chhattisgarh,2008,Rice,171869,223318
Chhattisgarh,2008,Potato,1,5
Chhattisgarh,2008,Wheat,800,845
Chhattisgarh,2008,Onion,41,225
Chhattisgarh,2009,Jowar,354,630
Chhattisgarh,2009,Rice,171869,215414
Chhattisgarh,2009,Wheat,800,1270
Chhattisgarh,2009,Onion,41,167
Chhattisgarh,2009,Potato,1,5
Chhattisgarh,2010,Jowar,282,550
Chhattisgarh,2010,Rice,173596,385716
Chhattisgarh,2010,Wheat,832,1428
Chhattisgarh,2010,Onion,86,468
Chhattisgarh,2010,Potato,27,153
Chhattisgarh,2011,Jowar,247,169
Chhattisgarh,2011,Rice,173669,241055
Chhattisgarh,2011,Potato,25,155
Chhattisgarh,2011,Wheat,716,1307
Chhattisgarh,2011,Onion,93,380
Chhattisgarh,2012,Jowar,269,232
Chhattisgarh,2012,Rice,174398,452378
Chhattisgarh,2012,Potato,18,132
Chhattisgarh,2012,Wheat,682,1262
Chhattisgarh,2012,Onion,90,182
Chhattisgarh,2013,Potato,2,12
Chhattisgarh,2013,Rice,177529,431585
Chhattisgarh,2013,Potato,15,74
Chhattisgarh,2013,Wheat,464,713
Chhattisgarh,2013,Jowar,175,96
Chhattisgarh,2013,Onion,135,511
Chhattisgarh,2014,Potato,2,18
Chhattisgarh,2014,Rice,178689,477197
Chhattisgarh,2014,Potato,14,65
Chhattisgarh,2014,Wheat,384,896
Chhattisgarh,2014,Jowar,167,138
Chhattisgarh,2014,Onion,133,789
Chhattisgarh,2011,Jowar,113,113
Chhattisgarh,2011,Potato,11,65
Chhattisgarh,2011,Rice,99670,105332
Chhattisgarh,2011,Potato,121,751
Chhattisgarh,2011,Wheat,155,299
Chhattisgarh,2011,Onion,49,234
Chhattisgarh,2012,Jowar,106,83
Chhattisgarh,2012,Potato,9,61
Chhattisgarh,2012,Rice,99796,172562
Chhattisgarh,2012,Potato,112,784
Chhattisgarh,2012,Wheat,139,278
Chhattisgarh,2012,Onion,73,235
Chhattisgarh,2013,Potato,4,27
Chhattisgarh,2013,Rice,100277,181999
Chhattisgarh,2013,Potato,129,693
Chhattisgarh,2013,Wheat,127,253
Chhattisgarh,2013,Jowar,89,58
Chhattisgarh,2013,Onion,23,114
Chhattisgarh,2014,Potato,14,101
Chhattisgarh,2014,Rice,100383,193520
Chhattisgarh,2014,Potato,140,922
Chhattisgarh,2014,Wheat,125,292
Chhattisgarh,2014,Jowar,83,74
Chhattisgarh,2014,Onion,43,351
Chhattisgarh,2000,Bajra,7,3
Chhattisgarh,2000,Jowar,400,340
Chhattisgarh,2000,Rice,109325,60674
Chhattisgarh,2000,Wheat,735,660
Chhattisgarh,2000,Onion,101,906
Chhattisgarh,2000,Potato,107,673
Chhattisgarh,2001,Bajra,7,3
Chhattisgarh,2001,Jowar,403,401
Chhattisgarh,2001,Rice,110152,145072
Chhattisgarh,2001,Wheat,801,817
Chhattisgarh,2001,Onion,109,1107
Chhattisgarh,2001,Potato,119,777
Chhattisgarh,2002,Bajra,7,2
Chhattisgarh,2002,Jowar,431,452
Chhattisgarh,2002,Rice,108984,82439
Chhattisgarh,2002,Wheat,659,547
Chhattisgarh,2002,Onion,101,968
Chhattisgarh,2002,Potato,123,745
Chhattisgarh,2003,Bajra,7,4
Chhattisgarh,2003,Jowar,414,332
Chhattisgarh,2003,Rice,110113,134710
Chhattisgarh,2003,Wheat,782,657
Chhattisgarh,2003,Onion,110,895
Chhattisgarh,2003,Potato,160,686
Chhattisgarh,2004,Bajra,7,2
Chhattisgarh,2004,Jowar,399,227
Chhattisgarh,2004,Rice,109856,101504
Chhattisgarh,2004,Wheat,711,459
Chhattisgarh,2004,Onion,119,696
Chhattisgarh,2004,Potato,187,820
Chhattisgarh,2005,Bajra,7,2
Chhattisgarh,2005,Jowar,396,319
Chhattisgarh,2005,Rice,109622,129060
Chhattisgarh,2005,Wheat,721,551
Chhattisgarh,2005,Onion,131,725
Chhattisgarh,2005,Potato,195,728
Chhattisgarh,2006,Bajra,7,2
Chhattisgarh,2006,Jowar,399,272
Chhattisgarh,2006,Potato,5,31
Chhattisgarh,2006,Rice,109853,95823
Chhattisgarh,2006,Potato,199,608
Chhattisgarh,2006,Wheat,700,520
Chhattisgarh,2006,Onion,139,737
Chhattisgarh,2007,Bajra,7,2
Chhattisgarh,2007,Jowar,377,323
Chhattisgarh,2007,Potato,1,7
Chhattisgarh,2007,Rice,109818,120613
Chhattisgarh,2007,Potato,191,795
Chhattisgarh,2007,Wheat,669,559
Chhattisgarh,2007,Onion,136,708
Chhattisgarh,2008,Bajra,72,29
Chhattisgarh,2008,Jowar,320,401
Chhattisgarh,2008,Potato,1,
Chhattisgarh,2008,Rice,109650,110250
Chhattisgarh,2008,Potato,213,1026
Chhattisgarh,2008,Wheat,658,520
Chhattisgarh,2008,Onion,118,618
Chhattisgarh,2009,Bajra,9,3
Chhattisgarh,2009,Jowar,378,507
Chhattisgarh,2009,Rice,109232,101991
Chhattisgarh,2009,Wheat,720,673
Chhattisgarh,2009,Onion,148,620
Chhattisgarh,2009,Potato,157,576
Chhattisgarh,2010,Bajra,8,4
Chhattisgarh,2010,Jowar,367,484
Chhattisgarh,2010,Rice,109207,130510
Chhattisgarh,2010,Wheat,670,667
Chhattisgarh,2010,Onion,156,875
Chhattisgarh,2010,Potato,206,923
Chhattisgarh,2011,Bajra,1,1
Chhattisgarh,2011,Jowar,335,212
Chhattisgarh,2011,Potato,1,7
Chhattisgarh,2011,Rice,109052,151705
Chhattisgarh,2011,Potato,208,1187
Chhattisgarh,2011,Wheat,685,763
Chhattisgarh,2011,Onion,150,739
Chhattisgarh,2012,Bajra,8,4
Chhattisgarh,2012,Jowar,487,280
Chhattisgarh,2012,Rice,109252,175010
Chhattisgarh,2012,Potato,238,1446
Chhattisgarh,2012,Wheat,653,725
Chhattisgarh,2012,Onion,157,521
Chhattisgarh,2013,Rice,109179,150499
Chhattisgarh,2013,Potato,238,1266
Chhattisgarh,2013,Wheat,673,714
Chhattisgarh,2013,Bajra,8,3
Chhattisgarh,2013,Jowar,487,254
Chhattisgarh,2013,Onion,157,1051
Chhattisgarh,2014,Bajra,8,3
Chhattisgarh,2014,Rice,109135,164065
Chhattisgarh,2014,Potato,178,1160
Chhattisgarh,2014,Wheat,670,951
Chhattisgarh,2014,Jowar,352,273
Chhattisgarh,2014,Onion,155,1372
Chhattisgarh,2000,Jowar,914,788
Chhattisgarh,2000,Rice,68626,45906
Chhattisgarh,2000,Wheat,4807,5747
Chhattisgarh,2000,Onion,92,634
Chhattisgarh,2000,Potato,600,4376
Chhattisgarh,2001,Jowar,810,774
Chhattisgarh,2001,Rice,70398,102157
Chhattisgarh,2001,Wheat,5077,6885
Chhattisgarh,2001,Onion,86,620
Chhattisgarh,2001,Potato,595,3267
Chhattisgarh,2002,Jowar,788,935
Chhattisgarh,2002,Rice,66735,36098
Chhattisgarh,2002,Wheat,4017,2889
Chhattisgarh,2002,Onion,80,610
Chhattisgarh,2002,Potato,558,3513
Chhattisgarh,2003,Jowar,804,755
Chhattisgarh,2003,Rice,69774,99029
Chhattisgarh,2003,Wheat,4795,5292
Chhattisgarh,2003,Onion,90,563
Chhattisgarh,2003,Potato,591,2490
Chhattisgarh,2004,Jowar,748,431
Chhattisgarh,2004,Rice,69968,75066
Chhattisgarh,2004,Wheat,4525,3647
Chhattisgarh,2004,Onion,91,468
Chhattisgarh,2004,Potato,561,2624
Chhattisgarh,2005,Jowar,719,492
Chhattisgarh,2005,Rice,70855,62552
Chhattisgarh,2005,Wheat,5157,4122
Chhattisgarh,2005,Onion,94,369
Chhattisgarh,2005,Potato,593,1968
Chhattisgarh,2006,Jowar,673,524
Chhattisgarh,2006,Rice,71107,66435
Chhattisgarh,2006,Potato,604,1886
Chhattisgarh,2006,Wheat,4719,4509
Chhattisgarh,2006,Onion,105,401
Chhattisgarh,2007,Jowar,684,544
Chhattisgarh,2007,Rice,69115,55104
Chhattisgarh,2007,Potato,576,1923
Chhattisgarh,2007,Wheat,4045,4185
Chhattisgarh,2007,Onion,101,379
Chhattisgarh,2008,Jowar,659,950
Chhattisgarh,2008,Rice,70742,84338
Chhattisgarh,2008,Potato,599,2177
Chhattisgarh,2008,Wheat,4686,5533
Chhattisgarh,2008,Onion,116,535
Chhattisgarh,2009,Jowar,640,712
Chhattisgarh,2009,Rice,68325,49123
Chhattisgarh,2009,Wheat,4020,3858
Chhattisgarh,2009,Onion,103,361
Chhattisgarh,2009,Potato,602,1960
Chhattisgarh,2010,Jowar,588,494
Chhattisgarh,2010,Rice,67867,73896
Chhattisgarh,2010,Wheat,3583,3346
Chhattisgarh,2010,Onion,116,434
Chhattisgarh,2010,Potato,604,2772
Chhattisgarh,2011,Jowar,598,399
Chhattisgarh,2011,Rice,69804,104657
Chhattisgarh,2011,Potato,680,3443
Chhattisgarh,2011,Wheat,4063,5748
Chhattisgarh,2011,Onion,138,491
Chhattisgarh,2012,Jowar,635,392
Chhattisgarh,2012,Rice,69533,122289
Chhattisgarh,2012,Potato,695,4123
Chhattisgarh,2012,Wheat,4097,5405
Chhattisgarh,2012,Onion,122,322
Chhattisgarh,2013,Rice,69767,112577
Chhattisgarh,2013,Potato,704,3211
Chhattisgarh,2013,Wheat,4117,5124
Chhattisgarh,2013,Jowar,552,310
Chhattisgarh,2013,Onion,144,820
Chhattisgarh,2014,Rice,73095,130407
Chhattisgarh,2014,Potato,719,3901
Chhattisgarh,2014,Wheat,4101,6588
Chhattisgarh,2014,Jowar,538,396
Chhattisgarh,2014,Onion,152,1166
Chhattisgarh,2000,Jowar,66,53
Chhattisgarh,2000,Rice,233263,114090
Chhattisgarh,2000,Wheat,945,2009
Chhattisgarh,2000,Onion,203,1650
Chhattisgarh,2000,Potato,162,1448
Chhattisgarh,2001,Jowar,51,47
Chhattisgarh,2001,Rice,242450,290201
Chhattisgarh,2001,Wheat,2313,3580
Chhattisgarh,2001,Onion,253,1740
Chhattisgarh,2001,Potato,121,1007
Chhattisgarh,2002,Bajra,2,1
Chhattisgarh,2002,Jowar,53,45
Chhattisgarh,2002,Rice,242444,108462
Chhattisgarh,2002,Wheat,2113,2608
Chhattisgarh,2002,Onion,247,1834
Chhattisgarh,2002,Potato,130,708
Chhattisgarh,2003,Jowar,50,25
Chhattisgarh,2003,Rice,250091,387427
Chhattisgarh,2003,Wheat,2238,3242
Chhattisgarh,2003,Onion,261,1611
Chhattisgarh,2003,Potato,186,1166
Chhattisgarh,2004,Jowar,48,34
Chhattisgarh,2004,Rice,251046,319432
Chhattisgarh,2004,Wheat,1799,2020
Chhattisgarh,2004,Onion,216,1108
Chhattisgarh,2004,Potato,164,1147
Chhattisgarh,2005,Jowar,265,196
Chhattisgarh,2005,Rice,250057,247754
Chhattisgarh,2005,Wheat,1618,1470
Chhattisgarh,2005,Onion,230,1191
Chhattisgarh,2005,Potato,167,849
Chhattisgarh,2006,Jowar,40,33
Chhattisgarh,2006,Rice,256752,331104
Chhattisgarh,2006,Potato,156,728
Chhattisgarh,2006,Wheat,1318,1443
Chhattisgarh,2006,Onion,219,958
Chhattisgarh,2007,Jowar,1928,1990
Chhattisgarh,2007,Rice,241743,331756
Chhattisgarh,2007,Potato,145,873
Chhattisgarh,2007,Wheat,1465,1802
Chhattisgarh,2007,Onion,212,911
Chhattisgarh,2008,Jowar,47,71
Chhattisgarh,2008,Rice,260661,292312
Chhattisgarh,2008,Potato,129,766
Chhattisgarh,2008,Wheat,1274,1324
Chhattisgarh,2008,Onion,188,880
Chhattisgarh,2009,Jowar,30,35
Chhattisgarh,2009,Rice,262841,292973
Chhattisgarh,2009,Wheat,1358,2101
Chhattisgarh,2009,Onion,219,894
Chhattisgarh,2009,Potato,144,757
Chhattisgarh,2010,Jowar,37,53
Chhattisgarh,2010,Rice,266738,486688
Chhattisgarh,2010,Wheat,1328,2149
Chhattisgarh,2010,Onion,8,42
Chhattisgarh,2010,Potato,124,735
Chhattisgarh,2011,Rice,266270,377333
Chhattisgarh,2011,Potato,131,956
Chhattisgarh,2011,Wheat,1003,1808
Chhattisgarh,2011,Onion,109,530
Chhattisgarh,2012,Jowar,22,15
Chhattisgarh,2012,Rice,270962,521880
Chhattisgarh,2012,Potato,189,1699
Chhattisgarh,2012,Wheat,1133,2073
Chhattisgarh,2012,Onion,243,799
Chhattisgarh,2013,Rice,271381,474504
Chhattisgarh,2013,Potato,134,879
Chhattisgarh,2013,Wheat,972,1680
Chhattisgarh,2013,Jowar,23,14
Chhattisgarh,2013,Onion,242,1578
Chhattisgarh,2014,Rice,272551,510063
Chhattisgarh,2014,Potato,136,1009
Chhattisgarh,2014,Wheat,984,1942
Chhattisgarh,2014,Jowar,24,19
Chhattisgarh,2014,Onion,242,2087
Chhattisgarh,2011,Jowar,1,1
Chhattisgarh,2011,Rice,108233,213753
Chhattisgarh,2011,Potato,129,736
Chhattisgarh,2011,Wheat,5890,7549
Chhattisgarh,2011,Onion,200,1186
Chhattisgarh,2012,Jowar,1,1
Chhattisgarh,2012,Rice,108920,245868
Chhattisgarh,2012,Potato,123,1046
Chhattisgarh,2012,Wheat,5734,8276
Chhattisgarh,2012,Onion,211,840
Chhattisgarh,2013,Rice,108812,187778
Chhattisgarh,2013,Potato,117,673
Chhattisgarh,2013,Wheat,5829,7408
Chhattisgarh,2013,Jowar,1,1
Chhattisgarh,2013,Onion,205,1653
Chhattisgarh,2014,Rice,108824,220811
Chhattisgarh,2014,Potato,103,670
Chhattisgarh,2014,Wheat,5579,8348
Chhattisgarh,2014,Jowar,1,1
Chhattisgarh,2014,Onion,193,2050
Chhattisgarh,2006,Jowar,6,
Chhattisgarh,2006,Rice,23578,
Chhattisgarh,2006,Wheat,8,
Chhattisgarh,2006,Onion,2,
Chhattisgarh,2007,Jowar,6,5
Chhattisgarh,2007,Rice,24164,35631
Chhattisgarh,2007,Potato,1,9
Chhattisgarh,2007,Wheat,12,21
Chhattisgarh,2007,Onion,1,9
Chhattisgarh,2008,Jowar,5,7
Chhattisgarh,2008,Rice,24165,37898
Chhattisgarh,2008,Potato,1,5
Chhattisgarh,2008,Wheat,13,14
Chhattisgarh,2008,Onion,1,6
Chhattisgarh,2009,Jowar,5,7
Chhattisgarh,2009,Rice,24099,26366
Chhattisgarh,2009,Wheat,12,22
Chhattisgarh,2009,Onion,1,4
Chhattisgarh,2010,Jowar,5,9
Chhattisgarh,2010,Rice,29917,51571
Chhattisgarh,2010,Wheat,17,33
Chhattisgarh,2010,Onion,8,40
Chhattisgarh,2010,Potato,6,54
Chhattisgarh,2011,Jowar,10,10
Chhattisgarh,2011,Rice,23961,26115
Chhattisgarh,2011,Potato,1,6
Chhattisgarh,2011,Wheat,7,14
Chhattisgarh,2012,Jowar,10,7
Chhattisgarh,2012,Rice,24207,34894
Chhattisgarh,2012,Wheat,20,44
Chhattisgarh,2013,Rice,24627,39302
Chhattisgarh,2013,Wheat,16,34
Chhattisgarh,2013,Jowar,10,6
Chhattisgarh,2014,Rice,24856,44005
Chhattisgarh,2014,Wheat,18,42
Chhattisgarh,2014,Jowar,8,6
Chhattisgarh,2000,Bajra,20,5
Chhattisgarh,2000,Jowar,21,15
Chhattisgarh,2000,Rice,241943,116886
Chhattisgarh,2000,Wheat,975,1521
Chhattisgarh,2000,Onion,368,3698
Chhattisgarh,2000,Potato,751,5147
Chhattisgarh,2001,Bajra,30,12
Chhattisgarh,2001,Jowar,17,16
Chhattisgarh,2001,Rice,241432,305358
Chhattisgarh,2001,Wheat,1339,1892
Chhattisgarh,2001,Onion,421,5226
Chhattisgarh,2001,Potato,778,5315
Chhattisgarh,2002,Bajra,34,10
Chhattisgarh,2002,Jowar,38,43
Chhattisgarh,2002,Rice,239372,168485
Chhattisgarh,2002,Wheat,1588,2372
Chhattisgarh,2002,Onion,447,5170
Chhattisgarh,2002,Potato,806,5124
Chhattisgarh,2003,Bajra,10,3
Chhattisgarh,2003,Jowar,33,31
Chhattisgarh,2003,Rice,242593,322350
Chhattisgarh,2003,Wheat,2353,3461
Chhattisgarh,2003,Onion,629,6156
Chhattisgarh,2003,Potato,979,4959
Chhattisgarh,2004,Bajra,25,8
Chhattisgarh,2004,Jowar,35,22
Chhattisgarh,2004,Rice,241526,250401
Chhattisgarh,2004,Wheat,1895,2229
Chhattisgarh,2004,Onion,562,4499
Chhattisgarh,2004,Potato,892,5124
Chhattisgarh,2005,Bajra,50,17
Chhattisgarh,2005,Jowar,14,11
Chhattisgarh,2005,Rice,240317,278707
Chhattisgarh,2005,Wheat,1900,2300
Chhattisgarh,2005,Onion,560,4220
Chhattisgarh,2005,Potato,949,4327
Chhattisgarh,2006,Bajra,20,7
Chhattisgarh,2006,Jowar,21,19
Chhattisgarh,2006,Rice,240616,307132
Chhattisgarh,2006,Potato,915,3814
Chhattisgarh,2006,Wheat,1601,2343
Chhattisgarh,2006,Onion,563,3707
Chhattisgarh,2007,Bajra,23,9
Chhattisgarh,2007,Jowar,13,15
Chhattisgarh,2007,Rice,241665,312306
Chhattisgarh,2007,Potato,924,4495
Chhattisgarh,2007,Wheat,1829,2792
Chhattisgarh,2007,Onion,568,3675
Chhattisgarh,2008,Bajra,21,8
Chhattisgarh,2008,Jowar,8,13
Chhattisgarh,2008,Rice,242366,296840
Chhattisgarh,2008,Potato,959,4756
Chhattisgarh,2008,Wheat,2120,2995
Chhattisgarh,2008,Onion,521,4139
Chhattisgarh,2009,Bajra,24,8
Chhattisgarh,2009,Jowar,38,62
Chhattisgarh,2009,Rice,240135,277370
Chhattisgarh,2009,Wheat,2377,2854
Chhattisgarh,2009,Onion,550,3380
Chhattisgarh,2009,Potato,974,4356
Chhattisgarh,2010,Bajra,21,11
Chhattisgarh,2010,Jowar,14,23
Chhattisgarh,2010,Rice,240388,336652
Chhattisgarh,2010,Wheat,2272,3791
Chhattisgarh,2010,Onion,577,4745
Chhattisgarh,2010,Potato,1005,5260
Chhattisgarh,2011,Bajra,29,12
Chhattisgarh,2011,Jowar,3,3
Chhattisgarh,2011,Rice,241162,334923
Chhattisgarh,2011,Potato,980,5660
Chhattisgarh,2011,Wheat,2429,4238
Chhattisgarh,2011,Onion,599,4173
Chhattisgarh,2012,Bajra,328,134
Chhattisgarh,2012,Jowar,2,1
Chhattisgarh,2012,Rice,240220,362982
Chhattisgarh,2012,Potato,1005,7666
Chhattisgarh,2012,Wheat,2365,4327
Chhattisgarh,2012,Onion,565,2659
Chhattisgarh,2013,Rice,237928,303252
Chhattisgarh,2013,Potato,1005,5590
Chhattisgarh,2013,Wheat,5517,9562
Chhattisgarh,2013,Bajra,14,6
Chhattisgarh,2013,Jowar,2,1
Chhattisgarh,2013,Onion,621,6295
Chhattisgarh,2014,Bajra,11,5
Chhattisgarh,2014,Rice,228200,367385
Chhattisgarh,2014,Potato,1030,7106
Chhattisgarh,2014,Wheat,2464,5338
Chhattisgarh,2014,Jowar,3,2
Chhattisgarh,2000,Jowar,199,117
Chhattisgarh,2000,Rice,513066,208356
Chhattisgarh,2000,Wheat,5412,7040
Chhattisgarh,2000,Onion,290,2078
Chhattisgarh,2000,Potato,171,1427
Chhattisgarh,2001,Jowar,143,114
Chhattisgarh,2001,Rice,517577,616749
Chhattisgarh,2001,Wheat,9649,12349
Chhattisgarh,2001,Onion,336,2817
Chhattisgarh,2001,Potato,173,1391
Chhattisgarh,2002,Jowar,175,185
Chhattisgarh,2002,Rice,516328,386465
Chhattisgarh,2002,Wheat,7657,10188
Chhattisgarh,2002,Onion,378,2952
Chhattisgarh,2002,Potato,129,999
Chhattisgarh,2003,Jowar,161,137
Chhattisgarh,2003,Rice,520847,711370
Chhattisgarh,2003,Wheat,9963,12897
Chhattisgarh,2003,Onion,391,2590
Chhattisgarh,2003,Potato,129,741
Chhattisgarh,2004,Bajra,2,1
Chhattisgarh,2004,Jowar,152,100
Chhattisgarh,2004,Rice,521744,626563
Chhattisgarh,2004,Wheat,9081,9446
Chhattisgarh,2004,Onion,348,2016
Chhattisgarh,2004,Potato,138,916
Chhattisgarh,2005,Bajra,2,1
Chhattisgarh,2005,Jowar,139,107
Chhattisgarh,2005,Rice,518561,804924
Chhattisgarh,2005,Wheat,8747,8145
Chhattisgarh,2005,Onion,422,2185
Chhattisgarh,2005,Potato,120,623
Chhattisgarh,2006,Bajra,11,11
Chhattisgarh,2006,Jowar,217,174
Chhattisgarh,2006,Potato,3,29
Chhattisgarh,2006,Rice,534394,785967
Chhattisgarh,2006,Potato,111,482
Chhattisgarh,2006,Wheat,8609,9163
Chhattisgarh,2006,Onion,427,1868
Chhattisgarh,2007,Bajra,11,9
Chhattisgarh,2007,Jowar,141,126
Chhattisgarh,2007,Potato,3,15
Chhattisgarh,2007,Rice,539878,805433
Chhattisgarh,2007,Potato,117,613
Chhattisgarh,2007,Wheat,8707,9802
Chhattisgarh,2007,Onion,285,1225
Chhattisgarh,2008,Jowar,115,153
Chhattisgarh,2008,Potato,6,
Chhattisgarh,2008,Rice,529148,691851
Chhattisgarh,2008,Potato,125,718
Chhattisgarh,2008,Wheat,8242,8272
Chhattisgarh,2008,Onion,358,1615
Chhattisgarh,2009,Bajra,1,
Chhattisgarh,2009,Jowar,142,186
Chhattisgarh,2009,Rice,521918,753589
Chhattisgarh,2009,Wheat,8516,11966
Chhattisgarh,2009,Onion,392,1600
Chhattisgarh,2009,Potato,123,738
Chhattisgarh,2010,Bajra,6,4
Chhattisgarh,2010,Jowar,103,161
Chhattisgarh,2010,Rice,545965,771395
Chhattisgarh,2010,Wheat,8646,11842
Chhattisgarh,2010,Onion,507,2400
Chhattisgarh,2010,Potato,115,678
Chhattisgarh,2011,Rice,169099,219975
Chhattisgarh,2011,Potato,73,539
Chhattisgarh,2011,Wheat,3096,5395
Chhattisgarh,2011,Onion,98,422
Chhattisgarh,2012,Rice,183690,375108
Chhattisgarh,2012,Potato,69,672
Chhattisgarh,2012,Wheat,2946,5420
Chhattisgarh,2012,Onion,112,326
Chhattisgarh,2013,Rice,185684,314837
Chhattisgarh,2013,Potato,64,420
Chhattisgarh,2013,Wheat,2522,4503
Chhattisgarh,2013,Onion,105,742
Chhattisgarh,2014,Rice,186042,376312
Chhattisgarh,2014,Potato,71,616
Chhattisgarh,2014,Wheat,4068,8307
Chhattisgarh,2014,Onion,90,777
Chhattisgarh,2000,Bajra,3,2
Chhattisgarh,2000,Jowar,88,65
Chhattisgarh,2000,Rice,249419,210646
Chhattisgarh,2000,Wheat,11854,6309
Chhattisgarh,2000,Onion,145,873
Chhattisgarh,2000,Potato,14,90
Chhattisgarh,2001,Bajra,2,2
Chhattisgarh,2001,Jowar,35,33
Chhattisgarh,2001,Rice,253973,296457
Chhattisgarh,2001,Wheat,12306,8389
Chhattisgarh,2001,Onion,273,1741
Chhattisgarh,2001,Potato,21,133
